C,sigma,before_acc,after_acc,avg_acc,1.05 power
1,0.007604489997873477,53.33,34.67,44.00,-100
1,0.009705470376501586,36.00,36.00,36.00,-95
1,0.012386912896918909,62.67,36.00,49.33,-90
1,0.015809188546631072,40.00,36.00,38.00,-85
1,0.02017697586015141,42.67,36.00,39.33,-80
1,0.02575150227731883,66.67,36.00,51.33,-75
1,0.03286616756321879,46.67,36.00,41.33,-70
1,0.0419464836909717,60.00,40.00,50.00,-65
1,0.053535523746494146,60.00,52.00,56.00,-60
1,0.06832640189643142,68.00,58.67,63.33,-55
1,0.08720372697238048,72.00,60.00,66.00,-50
1,0.11129650891613317,80.00,69.33,74.67,-45
1,0.14204568230027764,89.33,81.33,85.33,-40
1,0.181290285352577,92.00,89.33,90.67,-35
1,0.23137744865585788,94.67,93.33,94.00,-30
1,0.29530277169776187,93.33,97.33,95.33,-25
1,0.3768894828730004,94.67,96.00,95.33,-20
1,0.48101709809097004,94.67,96.00,95.33,-15
1,0.6139132535407591,94.67,96.00,95.33,-10
1,0.7835261664684589,96.00,96.00,96.00,-5
1,1.0,96.00,96.00,96.00,0
1,1.2762815625000004,96.00,96.00,96.00,5
1,1.628894626777442,94.67,97.33,96.00,10
1,2.0789281794113688,94.67,96.00,95.33,15
1,2.653297705144422,93.33,94.67,94.00,20
1,3.3863549408993885,92.00,92.00,92.00,25
1,4.321942375150668,90.67,94.67,92.67,30
1,5.5160153675922565,89.33,93.33,91.33,35
1,7.039988712124658,89.33,93.33,91.33,40
1,8.985007793492823,89.33,90.67,90.00,45
1,11.4673997857537,89.33,89.33,89.33,50
1,14.6356309163739,89.33,90.67,90.00,55
1,18.679185894122995,90.67,89.33,90.00,60
1,23.83990055917926,77.33,85.33,81.33,65
1,30.426425535513935,70.67,82.67,76.67,70
1,38.83268592375563,69.33,77.33,73.33,75
1,49.561441066842605,73.33,74.67,74.00,80
1,63.25435344454156,68.00,92.00,80.00,85
1,80.73036504912677,66.67,92.00,79.33,90
1,103.03467644609493,94.67,92.00,93.33,95
1,131.50125784630401,94.67,92.00,93.33,100
5,0.007604489997873477,53.33,45.33,49.33,-100
5,0.009705470376501586,64.00,50.67,57.33,-95
5,0.012386912896918909,38.67,36.00,37.33,-90
5,0.015809188546631072,66.67,36.00,51.33,-85
5,0.02017697586015141,66.67,36.00,51.33,-80
5,0.02575150227731883,44.00,36.00,40.00,-75
5,0.03286616756321879,46.67,36.00,41.33,-70
5,0.0419464836909717,60.00,40.00,50.00,-65
5,0.053535523746494146,60.00,52.00,56.00,-60
5,0.06832640189643142,68.00,58.67,63.33,-55
5,0.08720372697238048,72.00,60.00,66.00,-50
5,0.11129650891613317,80.00,69.33,74.67,-45
5,0.14204568230027764,89.33,81.33,85.33,-40
5,0.181290285352577,90.67,89.33,90.00,-35
5,0.23137744865585788,93.33,92.00,92.67,-30
5,0.29530277169776187,94.67,96.00,95.33,-25
5,0.3768894828730004,94.67,94.67,94.67,-20
5,0.48101709809097004,96.00,94.67,95.33,-15
5,0.6139132535407591,94.67,96.00,95.33,-10
5,0.7835261664684589,97.33,96.00,96.67,-5
5,1.0,94.67,96.00,95.33,0
5,1.2762815625000004,94.67,97.33,96.00,5
5,1.628894626777442,94.67,96.00,95.33,10
5,2.0789281794113688,94.67,96.00,95.33,15
5,2.653297705144422,94.67,96.00,95.33,20
5,3.3863549408993885,94.67,96.00,95.33,25
5,4.321942375150668,94.67,97.33,96.00,30
5,5.5160153675922565,94.67,96.00,95.33,35
5,7.039988712124658,94.67,96.00,95.33,40
